id,grid_cell,acquired,satellite_id,sun_elevation,pixel_resolution,rows,epsg_code,cloud_cover,ground_control,provider,anomalous_pixels,columns,catalog_id,updated,black_fill,sun_azimuth,origin_y,origin_x,view_angle,strip_id,usable_data,item_type,gsd,published
20120228_185743_1354107_RapidEye-4,1354107,2012-02-28T18:57:43Z,RapidEye-4,49.21607,5,5000,32613,0,True,rapideye,0,5000,8730294,2017-08-19T02:03:11Z,0,171.44702,3624500,307500,-13.06622,8730238,1,REOrthoTile,6.5,2017-08-19T02:03:11Z
20120315_185708_1354107_RapidEye-1,1354107,2012-03-15T18:57:08Z,RapidEye-1,55.49135,5,5000,32613,0,True,rapideye,0,5000,8858926,2017-08-18T21:06:19Z,0,171.49075,3624500,307500,-3.1206,8858888,1,REOrthoTile,6.5,2017-08-18T21:06:19Z
20120419_184828_1354107_RapidEye-3,1354107,2012-04-19T18:48:28Z,RapidEye-3,68.64029,5,5000,32613,0,True,rapideye,0,5000,9120544,2017-08-18T11:37:14Z,0,167.70835,3624500,307500,6.96805,9120432,1,REOrthoTile,6.5,2017-08-18T11:37:14Z
20120523_190103_1354107_RapidEye-3,1354107,2012-05-23T19:01:03Z,RapidEye-3,78.2817,5,5000,32613,0,True,rapideye,0,5000,9537864,2017-08-18T00:59:09Z,0,176.07784,3624500,307500,-16.28207,9537731,1,REOrthoTile,6.5,2017-08-18T00:59:09Z
20120601_185040_1354107_RapidEye-3,1354107,2012-06-01T18:50:40Z,RapidEye-3,79.20616,5,5000,32613,0,True,rapideye,0,5000,9572151,2017-08-18T00:51:09Z,0,161.22737,3624500,307500,3.59892,9572044,1,REOrthoTile,6.5,2017-08-18T00:51:09Z
20120629_190148_1354107_RapidEye-2,1354107,2012-06-29T19:01:48Z,RapidEye-2,80.4816,5,5000,32613,0,True,rapideye,0,5000,9757853,2017-08-17T16:28:10Z,0,166.73409,3624500,307500,-13.07294,9757770,1,REOrthoTile,6.5,2017-08-17T16:28:10Z
20120820_185246_1354107_RapidEye-2,1354107,2012-08-20T18:52:46Z,RapidEye-2,69.24349,5,5000,32613,0,True,rapideye,0,5000,10233928,2017-08-16T19:11:50Z,0,167.43322,3624500,307500,6.83538,10233843,1,REOrthoTile,6.5,2017-08-16T19:11:50Z
20120930_184946_1354107_RapidEye-5,1354107,2012-09-30T18:49:46Z,RapidEye-5,54.32246,5,5000,32613,0,True,rapideye,0,5000,11313685,2017-08-16T01:15:42Z,0,176.73393,3624500,307500,6.78742,11313590,1,REOrthoTile,6.5,2017-08-16T01:15:42Z
20121026_185813_1354107_RapidEye-2,1354107,2012-10-26T18:58:13Z,RapidEye-2,44.74502,5,5000,32613,0,True,rapideye,0.01,5000,10818484,2017-08-15T20:08:31Z,0.01,182.28524,3624500,307500,-6.26774,10818432,0.99,REOrthoTile,6.5,2017-08-15T20:08:31Z
20121116_185449_1354107_RapidEye-4,1354107,2012-11-16T18:54:49Z,RapidEye-4,38.56826,5,5000,32613,0,True,rapideye,0,5000,10955060,2017-08-15T18:12:56Z,0,180.68193,3624500,307500,-6.3688,10954976,1,REOrthoTile,6.5,2017-08-15T18:12:56Z
20121202_185357_1354107_RapidEye-1,1354107,2012-12-02T18:53:57Z,RapidEye-1,35.44619,5,5000,32613,0,True,rapideye,0,5000,11103855,2017-08-15T13:58:24Z,0,179.03646,3624500,307500,3.48898,11103829,1,REOrthoTile,6.5,2017-08-15T13:58:24Z
20121123_184600_1354107_RapidEye-2,1354107,2012-11-23T18:46:00Z,RapidEye-2,36.96975,5,5000,32613,0,True,rapideye,0,5000,10990104,2017-08-15T12:44:43Z,0,177.58185,3624500,307500,19.78888,10990017,1,REOrthoTile,6.5,2017-08-15T12:44:43Z
20121211_190055_1354107_RapidEye-5,1354107,2012-12-11T19:00:55Z,RapidEye-5,34.4721,5,5000,32613,0,True,rapideye,0,5000,11204949,2017-08-15T07:11:38Z,0,179.91125,3624500,307500,-17.99508,11204920,1,REOrthoTile,6.5,2017-08-15T07:11:38Z
20121218_184602_1354107_RapidEye-3,1354107,2012-12-18T18:46:02Z,RapidEye-3,33.95948,5,5000,32613,0,True,rapideye,0.12,5000,11204814,2017-08-15T07:02:37Z,0.12,174.86664,3624500,307500,10.23929,11204789,0.88,REOrthoTile,6.5,2017-08-15T07:02:37Z
20130125_190457_1354107_RapidEye-2,1354107,2013-01-25T19:04:57Z,RapidEye-2,38.64026,5,5000,32613,0,True,rapideye,0,5000,11679122,2017-08-14T16:13:34Z,0,175.41338,3624500,307500,-15.62628,11679037,1,REOrthoTile,6.5,2017-08-14T16:13:34Z
20130201_184953_1354107_RapidEye-5,1354107,2013-02-01T18:49:53Z,RapidEye-5,40.08582,5,5000,32613,0,True,rapideye,0,5000,11732023,2017-08-14T09:46:14Z,0,170.16326,3624500,307500,6.67277,11731929,1,REOrthoTile,6.5,2017-08-14T09:46:14Z
20130130_184635_1354107_RapidEye-3,1354107,2013-01-30T18:46:35Z,RapidEye-3,39.41267,5,5000,32613,0,True,rapideye,0,5000,11718066,2017-08-14T09:46:03Z,0,169.35218,3624500,307500,10.19067,11718041,1,REOrthoTile,6.5,2017-08-14T09:46:03Z
20130204_185143_1354107_RapidEye-3,1354107,2013-02-04T18:51:43Z,RapidEye-3,41.01615,5,5000,32613,0,True,rapideye,0.67,5000,11766465,2017-08-14T08:22:30Z,0.67,170.46228,3624500,307500,-3.06641,11766406,0.33,REOrthoTile,6.5,2017-08-14T08:22:30Z
20130316_185532_1354107_RapidEye-5,1354107,2013-03-16T18:55:32Z,RapidEye-5,55.74326,5,5000,32613,0,True,rapideye,0.16,5000,12145242,2017-08-13T18:08:56Z,0.16,170.81862,3624500,307500,-9.65932,12145193,0.84,REOrthoTile,6.5,2017-08-13T18:08:56Z
20130409_190006_1354107_RapidEye-5,1354107,2013-04-09T19:00:06Z,RapidEye-5,65.30533,5,5000,32613,0,True,rapideye,0,5000,12360132,2017-08-13T11:27:04Z,0,174.6538,3624500,307500,-16.24936,12360024,1,REOrthoTile,6.5,2017-08-13T11:27:04Z
20130417_184559_1354107_RapidEye-4,1354107,2013-04-17T18:45:59Z,RapidEye-4,67.73542,5,5000,32613,0,True,rapideye,0,5000,12432798,2017-08-13T06:08:50Z,0,166.17904,3624500,307500,10.12941,12432689,1,REOrthoTile,6.5,2017-08-13T06:08:50Z
20130514_185811_1354107_RapidEye-2,1354107,2013-05-14T18:58:11Z,RapidEye-2,76.28512,5,5000,32613,0,True,rapideye,0.1,5000,12724263,2017-08-12T16:46:15Z,0.1,174.18945,3624500,307500,-6.27549,12724226,0.9,REOrthoTile,6.5,2017-08-12T16:46:15Z
20130519_190251_1354107_RapidEye-2,1354107,2013-05-19T19:02:51Z,RapidEye-2,77.46408,5,5000,32613,0,True,rapideye,0,5000,12796362,2017-08-12T15:00:25Z,0,178.59251,3624500,307500,-13.0914,12796310,1,REOrthoTile,6.5,2017-08-12T15:00:25Z
20130603_185246_1354107_RapidEye-3,1354107,2013-06-03T18:52:46Z,RapidEye-3,79.53166,5,5000,32613,0,True,rapideye,0,5000,12935654,2017-08-12T07:25:37Z,0,163.06527,3624500,307500,-3.18214,12935614,1,REOrthoTile,6.5,2017-08-12T07:25:37Z
20130729_185346_1354107_RapidEye-2,1354107,2013-07-29T18:53:46Z,RapidEye-2,75.38014,5,5000,32613,0,True,rapideye,0,5000,13430901,2017-08-10T16:22:25Z,0,160.55036,3624500,307500,3.51654,13430775,1,REOrthoTile,6.5,2017-08-10T16:22:25Z
20131018_185345_1354107_RapidEye-2,1354107,2013-10-18T18:53:45Z,RapidEye-2,47.66345,5,5000,32613,0,True,rapideye,0.01,5000,14334545,2017-08-05T12:45:49Z,0.01,180.37714,3624500,307500,0.3559,14334449,0.99,REOrthoTile,6.5,2017-08-05T08:41:51Z
20131102_184325_1354107_RapidEye-3,1354107,2013-11-02T18:43:25Z,RapidEye-3,42.53483,5,5000,32613,0,True,rapideye,0,5000,14497402,2017-07-28T08:15:45Z,0,177.44183,3624500,307500,13.52277,14497287,1,REOrthoTile,6.5,2017-07-28T08:15:45Z
20131204_185908_1354107_RapidEye-1,1354107,2013-12-04T18:59:08Z,RapidEye-1,35.21328,5,5000,32613,0,True,rapideye,0.44,5000,14814087,2017-07-25T09:32:09Z,0.44,180.30723,3624500,307500,-12.9495,14814026,0.56,REOrthoTile,6.5,2017-07-25T09:32:09Z
20131217_184922_1354107_RapidEye-5,1354107,2013-12-17T18:49:22Z,RapidEye-5,34.05804,5,5000,32613,0,True,rapideye,0,5000,14939957,2017-07-24T16:57:44Z,0,175.94768,3624500,307500,2.602,14939908,1,REOrthoTile,6.5,2017-07-24T16:57:44Z
20131218_185302_1354107_RapidEye-1,1354107,2013-12-18T18:53:02Z,RapidEye-1,34.07338,5,5000,32613,0,True,rapideye,0.01,5000,14962800,2017-07-11T00:54:00Z,0.01,176.82833,3624500,307500,3.27277,14962774,0.99,REOrthoTile,6.5,2017-07-11T00:54:00Z
20170520_181841_1354107_RapidEye-3,1354107,2017-05-20T18:18:41Z,RapidEye-3,74.01895,5,5000,32613,0,True,rapideye,0,5000,31427691,2017-05-23T12:08:55Z,0,137.67166,3624500,307500,-9.81988,31429823,1,REOrthoTile,6.5,2017-05-21T13:52:27Z
20150117_184609_1354107_RapidEye-1,1354107,2015-01-17T18:46:09Z,RapidEye-1,36.3176,5,5000,32613,0,True,rapideye,0,5000,19245181,2017-05-19T02:09:10Z,0,170.81646,3624500,307500,3.41496,27106085,1,REOrthoTile,6.5,2017-05-19T02:09:10Z
20170312_181623_1354107_RapidEye-1,1354107,2017-03-12T18:16:23Z,RapidEye-1,51.69112,5,5000,32613,0.46,rapideye,0.54,5000,6.5,2017-03-15T06:18:04Z,0,0.54,154.97016,3624500.0,307500,13.20946,30418083,REOrthoTile,30416781,2017-03-13T11:55:05Z
