iteration,num.plants,plant.size,aim.sum,aim.count,aim.multiples,haf.sum,haf.count,haf.duplicates,plot.average,plot.max
93,Sparse,Medium,23.84288771,9,0,24.57902221,3,3,22.33804952,23.65130337
94,Sparse,Medium,22.39222089,15,2,23.42717377,5,3,22.19343547,23.54384694
95,Sparse,Medium,23.40712191,13,4,24.2227628,5,3,22.15606754,23.54168631
96,Sparse,Medium,23.07892412,11,0,23.81067532,3,2,22.22500915,23.52576425
97,Sparse,Medium,23.00771857,4,0,0,0,0,22.24992273,23.67182828
98,Sparse,Medium,22.86210392,10,1,23.52406123,4,2,22.05061983,23.55924232
99,Sparse,Medium,23.44241424,11,0,24.37876574,3,2,22.05439808,23.43565195
100,Sparse,Medium,21.74520933,7,0,22.36880071,1,0,22.27120039,23.72376887
1,Dense,Small,22.47499793,5,0,24.02418298,1,0,22.12129964,23.51249277
2,Dense,Small,22.63567083,6,0,0,0,0,21.91341782,23.26677971
3,Dense,Small,23.32658775,8,1,23.97378773,3,0,22.07207562,23.40408874
4,Dense,Small,23.08125552,3,1,24.09074059,1,0,21.99917763,23.37622041
5,Dense,Small,22.71850075,6,1,23.2379147,3,0,22.11980944,23.49894119
6,Dense,Small,23.12410475,2,0,24.54124519,1,0,22.1065309,23.54559924
7,Dense,Small,23.33905551,9,0,24.0209505,3,0,22.07728071,23.42140423
8,Dense,Small,22.88124242,7,0,23.28314081,3,0,22.14136871,23.47214523
9,Dense,Small,22.25413646,10,0,22.61791631,3,0,22.06012215,23.40237823
10,Dense,Small,22.77391502,8,0,23.30658631,1,0,21.89162541,23.24476599
11,Dense,Small,22.85954619,10,1,23.63595882,5,0,21.96771169,23.33986736
12,Dense,Small,22.36760883,4,0,23.41985952,1,0,22.25226919,23.60219646
13,Dense,Small,23.32547728,10,0,24.07886549,5,0,22.07595754,23.45234297
14,Dense,Small,22.44252414,6,0,23.46428896,2,0,21.90362456,23.29277317
15,Dense,Small,23.58846708,10,0,23.51485267,2,0,22.09600429,23.46937215
16,Dense,Small,22.60573822,5,0,22.40977301,1,0,21.89511871,23.22069725
17,Dense,Small,22.31251612,5,0,22.60588327,2,1,22.05033763,23.41653466
18,Dense,Small,23.46096816,11,1,23.644278,4,0,22.07146309,23.46080381
19,Dense,Small,22.60102269,7,0,23.06605184,3,0,21.94784544,23.32494067
20,Dense,Small,22.35353852,9,0,23.25343997,4,1,22.05582863,23.40200699
21,Dense,Small,23.34599672,10,0,24.52474321,4,2,21.99420371,23.35628065
22,Dense,Small,22.66052789,3,0,22.71210579,1,0,21.98329813,23.39381939
23,Dense,Small,24.19432409,4,1,24.50371667,2,0,22.03526396,23.41596023
24,Dense,Small,22.53403376,2,0,22.02415988,1,0,22.19918178,23.49820424
25,Dense,Small,21.97377921,6,0,22.84900446,2,0,22.07921257,23.47751317
26,Dense,Small,22.39628952,8,0,23.24021554,3,0,21.95353527,23.31151444
27,Dense,Small,22.15429668,11,0,23.35090377,3,0,21.93979917,23.28917206
28,Dense,Small,23.45275257,6,0,23.31612847,2,1,22.04900001,23.40333331
29,Dense,Small,22.79878574,7,0,23.73760363,1,0,21.99252085,23.35453901
30,Dense,Small,22.80131447,8,0,23.86980548,1,0,22.04821447,23.47658464
31,Dense,Small,22.49242524,5,0,0,0,0,22.1077871,23.40171327
32,Dense,Small,22.06230815,1,0,0,0,0,22.0142351,23.40057593
33,Dense,Small,22.59853797,7,1,23.54947045,4,0,22.11403207,23.48349563
34,Dense,Small,23.09700519,6,0,24.03392474,2,1,22.09281289,23.43661042
35,Dense,Small,23.1167108,11,1,23.642513,4,0,22.24383507,23.57067962
36,Dense,Small,22.48461851,7,1,23.40030816,1,1,22.18657488,23.60738471
37,Dense,Small,23.00932447,15,0,23.50594915,4,0,22.19502741,23.5991966
38,Dense,Small,23.66023144,9,3,24.91251886,3,0,22.25579343,23.59704076
39,Dense,Small,23.08684534,4,1,23.37225609,1,0,22.11755574,23.55010684
40,Dense,Small,23.72962108,5,0,24.4336162,2,1,22.06188907,23.39343198
41,Dense,Small,22.93374444,12,1,23.81507051,4,1,22.00055041,23.33767665
42,Dense,Small,23.17114598,5,1,23.94102151,3,0,22.09621441,23.46230282
43,Dense,Small,21.96744294,5,0,23.28297774,2,0,21.90236817,23.32151679
44,Dense,Small,23.02809904,7,0,24.1757341,3,0,22.30843693,23.6328742
45,Dense,Small,22.03108191,3,0,0,0,0,22.11317564,23.45522381
46,Dense,Small,22.54806976,4,0,23.09260691,2,0,22.06511684,23.49223565
47,Dense,Small,22.62889385,10,0,23.67216081,2,0,21.98599975,23.37098468
48,Dense,Small,22.90751715,9,0,23.46081917,3,0,22.05235045,23.42790486
49,Dense,Small,23.71929954,8,0,23.42274758,1,0,22.16632654,23.51570674
50,Dense,Small,23.22108843,12,0,23.70460631,5,0,22.04466991,23.42746796
51,Dense,Small,23.413505,8,0,23.91848223,4,1,22.09587865,23.41421382
52,Dense,Small,23.29928086,2,0,23.59963959,2,0,22.0244374,23.36957149
53,Dense,Small,22.87092546,5,1,23.49753822,3,0,21.98976967,23.29049485
54,Dense,Small,22.5056999,16,3,22.72847532,6,0,21.96623529,23.31993205
55,Dense,Small,24.00020289,5,0,24.84866898,1,0,22.21263728,23.57599569
56,Dense,Small,22.98222144,6,0,23.05302007,3,0,22.0173299,23.378692
57,Dense,Small,23.46751757,13,0,23.83394583,4,2,22.03093924,23.33557642
58,Dense,Small,23.14001975,9,2,23.60821737,3,1,22.25824849,23.57724743
59,Dense,Small,22.92724937,11,0,23.43992572,4,0,22.1681353,23.54481118
60,Dense,Small,23.107893,8,1,23.8806126,3,0,21.95386386,23.3121327
61,Dense,Small,22.08607201,8,0,23.40726697,1,0,22.18488854,23.49111273
62,Dense,Small,22.75461316,8,0,22.64151169,2,0,21.94986871,23.30714998
63,Dense,Small,23.19161118,3,0,23.24093813,1,0,21.97765758,23.36542499
64,Dense,Small,22.95561179,6,0,23.88467068,2,0,22.08402964,23.54224712
